nama_kabupaten_kota,produksi_2021,produksi_2022
KABUPATEN BANDUNG,23817,88396
KABUPATEN BANDUNG BARAT,32693,55169
KABUPATEN BEKASI,153691,114145
KABUPATEN BOGOR,47471,26693
KABUPATEN CIAMIS,55395,69239
KABUPATEN CIANJUR,253601,444851
KABUPATEN CIREBON,494262,433515
KABUPATEN GARUT,126179,192273
KABUPATEN INDRAMAYU,933979,1556682
KABUPATEN KARAWANG,104921,74780
KABUPATEN KUNINGAN,217734,238909
KABUPATEN MAJALENGKA,652889,284629
KABUPATEN PANGANDARAN,279,78
KABUPATEN PURWAKARTA,25846,27643
KABUPATEN SUBANG,497296,187639
KABUPATEN SUKABUMI,47138,19352
KABUPATEN SUMEDANG,672531,615143
KABUPATEN TASIKMALAYA,39024,31006
KOTA BANDUNG,50,28
KOTA BANJAR,27878,16655
KOTA BEKASI,19498,30560
KOTA BOGOR,3979,1050
KOTA CIMAHI,200,112
KOTA CIREBON,3783,703
KOTA DEPOK,1661,1577
KOTA SUKABUMI,0,0
KOTA TASIKMALAYA,4932,918
