nama_kabupaten_kota,tahun,produksi_mangga
KABUPATEN INDRAMAYU,2022,1556682
KABUPATEN INDRAMAYU,2020,1265402
KABUPATEN INDRAMAYU,2018,941147
KABUPATEN INDRAMAYU,2021,933979
KABUPATEN INDRAMAYU,2016,906435
KABUPATEN INDRAMAYU,2013,847878
KABUPATEN SUBANG,2013,801066
KABUPATEN INDRAMAYU,2017,774736
KABUPATEN SUMEDANG,2019,755536
KABUPATEN INDRAMAYU,2019,753425
KABUPATEN SUMEDANG,2018,735821
KABUPATEN INDRAMAYU,2014,724359
KABUPATEN INDRAMAYU,2015,687370
KABUPATEN SUMEDANG,2021,672531
KABUPATEN SUMEDANG,2020,656450
KABUPATEN MAJALENGKA,2021,652889
KABUPATEN MAJALENGKA,2015,643949
KABUPATEN SUMEDANG,2022,615143
KABUPATEN MAJALENGKA,2017,600638
KABUPATEN MAJALENGKA,2014,571725
KABUPATEN CIREBON,2018,554767
KABUPATEN MAJALENGKA,2019,548872
KABUPATEN CIREBON,2020,536250
KABUPATEN MAJALENGKA,2020,522106
KABUPATEN CIREBON,2014,516607
KABUPATEN SUBANG,2021,497296
KABUPATEN CIREBON,2021,494262
KABUPATEN CIREBON,2019,467971
KABUPATEN MAJALENGKA,2018,447567
KABUPATEN CIANJUR,2022,444851
KABUPATEN CIREBON,2022,433515
KABUPATEN CIREBON,2017,391522
KABUPATEN MAJALENGKA,2016,375293
KABUPATEN CIREBON,2015,374433
KABUPATEN KUNINGAN,2018,348506
KABUPATEN SUBANG,2020,329335
KABUPATEN KUNINGAN,2013,324062
KABUPATEN KUNINGAN,2015,321089
KABUPATEN CIREBON,2016,310862
KABUPATEN CIREBON,2013,309481
KABUPATEN KUNINGAN,2019,302941
KABUPATEN KUNINGAN,2017,298218
KABUPATEN MAJALENGKA,2022,284629
KABUPATEN SUMEDANG,2017,283845
KABUPATEN CIANJUR,2021,253601
KABUPATEN KUNINGAN,2020,246464
KABUPATEN KUNINGAN,2022,238909
KABUPATEN SUMEDANG,2013,236069
KABUPATEN SUMEDANG,2015,234910
KABUPATEN SUMEDANG,2016,234025
KABUPATEN KUNINGAN,2014,233286
KABUPATEN CIANJUR,2019,224479
KABUPATEN KUNINGAN,2021,217734
KABUPATEN KARAWANG,2017,211346
KABUPATEN SUMEDANG,2014,206326
KABUPATEN SUBANG,2019,203427
KABUPATEN SUBANG,2018,199703
KABUPATEN KARAWANG,2016,195269
KABUPATEN GARUT,2022,192273
KABUPATEN KARAWANG,2014,188261
KABUPATEN SUBANG,2022,187639
KABUPATEN SUBANG,2014,172113
KABUPATEN GARUT,2019,171160
KABUPATEN GARUT,2015,159015
KABUPATEN CIANJUR,2017,156568
KABUPATEN BEKASI,2021,153691
KABUPATEN CIANJUR,2020,149680
KABUPATEN KARAWANG,2018,146163
KABUPATEN KARAWANG,2015,136161
KABUPATEN KUNINGAN,2016,129195
KABUPATEN GARUT,2021,126179
KABUPATEN KARAWANG,2020,124176
KABUPATEN SUKABUMI,2014,123735
KABUPATEN KARAWANG,2013,123699
KABUPATEN GARUT,2017,123301
KABUPATEN KARAWANG,2019,122928
KABUPATEN BANDUNG,2019,122602
KABUPATEN CIANJUR,2014,121065
KABUPATEN SUKABUMI,2015,116623
KABUPATEN BEKASI,2022,114145
KABUPATEN GARUT,2013,112840
KABUPATEN GARUT,2018,111336
KABUPATEN CIANJUR,2018,107210
KABUPATEN KARAWANG,2021,104921
KABUPATEN MAJALENGKA,2013,102427
KABUPATEN SUKABUMI,2018,99003
KABUPATEN CIAMIS,2019,98778
KABUPATEN SUKABUMI,2017,96090
KABUPATEN SUBANG,2017,95475
KABUPATEN SUKABUMI,2019,95076
KABUPATEN CIANJUR,2013,94258
KABUPATEN GARUT,2020,93487
KABUPATEN GARUT,2016,92443
KABUPATEN SUKABUMI,2020,89755
KABUPATEN BANDUNG,2022,88396
KABUPATEN CIANJUR,2015,86305
KABUPATEN CIANJUR,2016,84780
KABUPATEN BANDUNG,2020,84429
KABUPATEN SUBANG,2015,83099
KABUPATEN BEKASI,2020,81131
KABUPATEN GARUT,2014,75658
KABUPATEN KARAWANG,2022,74780
KABUPATEN SUKABUMI,2013,73571
KABUPATEN SUBANG,2016,71905
KABUPATEN PURWAKARTA,2015,70588
KABUPATEN CIAMIS,2022,69239
KABUPATEN BANDUNG,2018,67585
KABUPATEN BEKASI,2019,64716
KABUPATEN SUKABUMI,2016,62789
KABUPATEN CIAMIS,2018,57851
KABUPATEN CIAMIS,2021,55395
