nama_kabupaten_kota,produksi_2013,produksi_2014,produksi_2015,produksi_2016,produksi_2017,produksi_2018,produksi_2019,produksi_2020,produksi_2021,produksi_2022
KABUPATEN BANDUNG,42848,51523,27217,19535,45407,67585,122602,84429,23817,88396
KABUPATEN BANDUNG BARAT,9691,27373,20072,16858,15118,14238,25536,21173,32693,55169
KABUPATEN BEKASI,39819,26677,5726,7171,27440,20580,64716,81131,153691,114145
KABUPATEN BOGOR,29405,22863,20173,10798,28497,35936,51613,43641,47471,26693
KABUPATEN CIAMIS,38747,37833,25151,19356,14202,57851,98778,34192,55395,69239
KABUPATEN CIANJUR,94258,121065,86305,84780,156568,107210,224479,149680,253601,444851
KABUPATEN CIREBON,309481,516607,374433,310862,391522,554767,467971,536250,494262,433515
KABUPATEN GARUT,112840,75658,159015,92443,123301,111336,171160,93487,126179,192273
KABUPATEN INDRAMAYU,847878,724359,687370,906435,774736,941147,753425,1265402,933979,1556682
KABUPATEN KARAWANG,123699,188261,136161,195269,211346,146163,122928,124176,104921,74780
KABUPATEN KUNINGAN,324062,233286,321089,129195,298218,348506,302941,246464,217734,238909
KABUPATEN MAJALENGKA,102427,571725,643949,375293,600638,447567,548872,522106,652889,284629
KABUPATEN PANGANDARAN,0,16669,14079,4699,334,10059,12291,3996,279,78
KABUPATEN PURWAKARTA,17737,35697,70588,20380,32063,30268,39458,33110,25846,27643
KABUPATEN SUBANG,801066,172113,83099,71905,95475,199703,203427,329335,497296,187639
KABUPATEN SUKABUMI,73571,123735,116623,62789,96090,99003,95076,89755,47138,19352
KABUPATEN SUMEDANG,236069,206326,234910,234025,283845,735821,755536,656450,672531,615143
KABUPATEN TASIKMALAYA,25155,28701,35218,12610,19683,32390,55071,24454,39024,31006
KOTA BANDUNG,997,1593,1087,126,85,174,1120,330,50,28
KOTA BANJAR,10727,8708,3090,651,5478,5237,14182,12240,27878,16655
KOTA BEKASI,8539,9129,18741,8550,13204,8198,11112,18853,19498,30560
KOTA BOGOR,5246,4260,9944,8222,11153,11412,10902,4772,3979,1050
KOTA CIMAHI,900,660,177,74,39,105,49,128,200,112
KOTA CIREBON,3932,3509,3241,6962,4618,52563,16706,40640,3783,703
KOTA DEPOK,6213,2745,906,793,1529,3002,2219,1558,1661,1577
KOTA SUKABUMI,949,677,465,283,185,122,41,0,0,0
KOTA TASIKMALAYA,4445,3066,3426,1000,3798,4478,13006,8117,4932,918
