id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_mangga,satuan,tahun,titik_longitude,titik_latitude
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,51613,KUINTAL,2019,106.943229,-6.419667
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,95076,KUINTAL,2019,106.726667,-6.924444
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,224479,KUINTAL,2019,107.133884,-6.808453
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,122602,KUINTAL,2019,107.619125,-7.000834
167,32,JAWA BARAT,3205,KABUPATEN GARUT,171160,KUINTAL,2019,107.960833,-7.2275
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,55071,KUINTAL,2019,108.201483,-7.3506
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,98778,KUINTAL,2019,108.351623,-7.340407
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,302941,KUINTAL,2019,108.454429,-7.028047
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,467971,KUINTAL,2019,108.69838,-6.909986
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,548872,KUINTAL,2019,108.188,-7.048993
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,755536,KUINTAL,2019,108.220833,-6.8425
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,753425,KUINTAL,2019,107.949444,-6.477028
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,203427,KUINTAL,2019,107.636211,-6.293275
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,39458,KUINTAL,2019,107.446042,-6.573098
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,122928,KUINTAL,2019,107.1419,-6.289
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,64716,KUINTAL,2019,106.97803,-6.14038
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25536,KUINTAL,2019,107.544358,-6.828014
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12291,KUINTAL,2019,108.5119,-7.613053
181,32,JAWA BARAT,3271,KOTA BOGOR,10902,KUINTAL,2019,106.79324,-6.5964
182,32,JAWA BARAT,3272,KOTA SUKABUMI,41,KUINTAL,2019,106.92724,-6.91897
183,32,JAWA BARAT,3273,KOTA BANDUNG,1120,KUINTAL,2019,107.619123,-6.917464
184,32,JAWA BARAT,3274,KOTA CIREBON,16706,KUINTAL,2019,108.552316,-6.732024
185,32,JAWA BARAT,3275,KOTA BEKASI,11112,KUINTAL,2019,106.9896,-6.234897
186,32,JAWA BARAT,3276,KOTA DEPOK,2219,KUINTAL,2019,106.828304,-6.402484
187,32,JAWA BARAT,3277,KOTA CIMAHI,49,KUINTAL,2019,107.541899,-6.87202
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13006,KUINTAL,2019,108.2202,-7.3274
189,32,JAWA BARAT,3279,KOTA BANJAR,14182,KUINTAL,2019,108.543615,-7.377383
