id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_mangga,satuan,tahun,titik_longitude,titik_latitude
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,29405,KUINTAL,2013,106.943229,-6.419667
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,73571,KUINTAL,2013,106.726667,-6.924444
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,94258,KUINTAL,2013,107.133884,-6.808453
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,42848,KUINTAL,2013,107.619125,-7.000834
5,32,JAWA BARAT,3205,KABUPATEN GARUT,112840,KUINTAL,2013,107.960833,-7.2275
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25155,KUINTAL,2013,108.201483,-7.3506
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,38747,KUINTAL,2013,108.351623,-7.340407
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,324062,KUINTAL,2013,108.454429,-7.028047
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,309481,KUINTAL,2013,108.69838,-6.909986
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,102427,KUINTAL,2013,108.188,-7.048993
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,236069,KUINTAL,2013,108.220833,-6.8425
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,847878,KUINTAL,2013,107.949444,-6.477028
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,801066,KUINTAL,2013,107.636211,-6.293275
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17737,KUINTAL,2013,107.446042,-6.573098
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,123699,KUINTAL,2013,107.1419,-6.289
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,39819,KUINTAL,2013,106.97803,-6.14038
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9691,KUINTAL,2013,107.544358,-6.828014
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KUINTAL,2013,108.5119,-7.613053
19,32,JAWA BARAT,3271,KOTA BOGOR,5246,KUINTAL,2013,106.79324,-6.5964
20,32,JAWA BARAT,3272,KOTA SUKABUMI,949,KUINTAL,2013,106.92724,-6.91897
21,32,JAWA BARAT,3273,KOTA BANDUNG,997,KUINTAL,2013,107.619123,-6.917464
22,32,JAWA BARAT,3274,KOTA CIREBON,3932,KUINTAL,2013,108.552316,-6.732024
23,32,JAWA BARAT,3275,KOTA BEKASI,8539,KUINTAL,2013,106.9896,-6.234897
24,32,JAWA BARAT,3276,KOTA DEPOK,6213,KUINTAL,2013,106.828304,-6.402484
25,32,JAWA BARAT,3277,KOTA CIMAHI,900,KUINTAL,2013,107.541899,-6.87202
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4445,KUINTAL,2013,108.2202,-7.3274
27,32,JAWA BARAT,3279,KOTA BANJAR,10727,KUINTAL,2013,108.543615,-7.377383
