id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_mangga,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,29405,KUINTAL,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,73571,KUINTAL,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,94258,KUINTAL,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,42848,KUINTAL,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,112840,KUINTAL,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25155,KUINTAL,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,38747,KUINTAL,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,324062,KUINTAL,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,309481,KUINTAL,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,102427,KUINTAL,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,236069,KUINTAL,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,847878,KUINTAL,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,801066,KUINTAL,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17737,KUINTAL,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,123699,KUINTAL,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,39819,KUINTAL,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9691,KUINTAL,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KUINTAL,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,5246,KUINTAL,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,949,KUINTAL,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,997,KUINTAL,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,3932,KUINTAL,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,8539,KUINTAL,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,6213,KUINTAL,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,900,KUINTAL,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4445,KUINTAL,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,10727,KUINTAL,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,22863,KUINTAL,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,123735,KUINTAL,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,121065,KUINTAL,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,51523,KUINTAL,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,75658,KUINTAL,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28701,KUINTAL,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,37833,KUINTAL,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,233286,KUINTAL,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,516607,KUINTAL,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,571725,KUINTAL,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,206326,KUINTAL,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,724359,KUINTAL,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,172113,KUINTAL,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,35697,KUINTAL,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,188261,KUINTAL,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,26677,KUINTAL,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,27373,KUINTAL,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16669,KUINTAL,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,4260,KUINTAL,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,677,KUINTAL,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,1593,KUINTAL,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,3509,KUINTAL,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,9129,KUINTAL,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,2745,KUINTAL,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,660,KUINTAL,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3066,KUINTAL,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,8708,KUINTAL,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,20173,KUINTAL,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,116623,KUINTAL,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,86305,KUINTAL,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,27217,KUINTAL,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,159015,KUINTAL,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,35218,KUINTAL,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25151,KUINTAL,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,321089,KUINTAL,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,374433,KUINTAL,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,643949,KUINTAL,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,234910,KUINTAL,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,687370,KUINTAL,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,83099,KUINTAL,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70588,KUINTAL,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,136161,KUINTAL,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,5726,KUINTAL,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20072,KUINTAL,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,14079,KUINTAL,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,9944,KUINTAL,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,465,KUINTAL,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,1087,KUINTAL,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,3241,KUINTAL,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,18741,KUINTAL,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,906,KUINTAL,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,177,KUINTAL,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3426,KUINTAL,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,3090,KUINTAL,2015
